standort_equipment;technplatzbezeichng;equipment;equipmentname;ort;wirtschaftseinheit;hersteller;baujahr;antriebsart;anzahl_haltestellen;anzahl_tueren_kabine;anzahl_tueren_schacht;foerdergeschwindigkeit;foerderhoehe;lage;tragkraft;erweiterte_ortsangabe;min_tuerbreite;kabinentiefe;kabinenbreite;kabinenhoehe;tuerhohe;fabriknummer;tuerart;geokoordinaterechtswert;geokoordinatehochwert;ausftextlichebeschreibung
BAHNSTEIG 2;Bahnsteig 2, Gleis 2 + 3;10006123;Aufzug HA 2027;Bayreuth Hbf;439;Thyssen Krupp AG;1999;HYDRAULISCH;     2;     2;     2;     0,2;     4,5;GLEIS 2/3;    1050;BAHNSTEIGMITTE;    900;    2100;    1100;    2150;    2100;252520711;ES2;;;Aufzug zu Gleis 2/3
BAHNSTEIG;Mittelbahnsteig;10006890;AZ Gl. 1-2 / Fabrik-Nr: 244099117;Greifswalder Straße;529;Thyssen Krupp AG;2006;SEIL;     2;     1;     2;     1;     6,19;AUßEN;    1000;"GL1/2;AUSGANG";    1000;    2100;    1100;    2200;    2000;244099117;ZS2;    3801156,253;    5832297,8229999999;Aufzug zu Gleis 1/2
BAHNSTEIG A;Bahnsteig A Mittelbahnsteig;10007538;AZ Gl. 1-2 / Fabrik-Nr: 47NAE870;Berlin-Grünau;540;OTIS GmbH & Co. OHG;2006;SEIL;     2;     2;     2;     1;     5,75;AUßEN;    1025;"GL1/2;AUSGANG";    900;    2100;    1100;    2200;    2000;47NAE870;ZS2;;;Aufzug zu Gleis 1/2
BAHNSTEIG  B;Bahnsteig B Mittelbahnsteig;10007539;AZ Gl. 3-4 / Fabrik Nr: 47NAE872;Berlin-Grünau;540;OTIS GmbH & Co. OHG;2006;SEIL;     2;     2;     2;     1;     5,75;AUßEN;    1025;"GL3/4;AUSGANG";    900;    2100;    1100;    2200;    2000;47NAE872;ZS2;;;Aufzug zu Gleis 3/4
BSTG.;S-Bahnsteig 01;10007851;AZ Gl 11-12 (Ring-Vorort)/F-Nr 284008082;Schöneberg;558;Thyssen Krupp AG;2009;SEIL;     2;     1;     2;     1;     6,310000000000001;INNEN;    1050;"RING;VORORT";    1000;    2100;    1100;    2170;    2100;284008082;ES2;    3795674,645;    5825158,5180000002;Aufzug zu Gleis 11/12
PERSONENAUFZUG NR.2784  BSTG.A;Bahnsteig 1 S-Bahnsteig A;10007865;AZ Gl. 3/4 (S-Bahn) / Fabrik-Nr: 2784;Berlin-Schöneweide Pbf;559;Schmersal Aufzugsservice;1999;HYDRAULISCH;     2;     2;     2;     0,63;     5,05;OBEN;    1000;"GL3/4;AUSGANG";    1200;    2650;    1130;    2100;    2000;2784;ES2;    3806513,1099999999;    5823154,7719999999;Aufzug zu Gleis 3/4
TUNNELSTR.;Personenunterführung zur Fähre;10007917;AZ Ausgang Vorplatz/Fabrik-Nr: 47KAG363;Berlin-Wannsee;566;OTIS GmbH & Co. OHG;2007;HYDRAULISCH;     2;     2;     2;     0,56;     4,25;NEBEN;    1250;"TUNNEL;AUSGANG";    900;    1960;    1340;    2200;    2100;47KAG363;ES2;;;
BSTG.A GLEIS 1/2;S-Bahnsteig 01 Gl. 1/2;10007919;AZ Gl. 1/2 (S-Bahn)/Fabrik-Nr: 47KAG364;Berlin-Wannsee;566;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     4,520000000000001;OBEN;    1025;"GL1/2;TUNNEL";    900;    2200;    940;    2200;    2100;47KAG364;ZS2;;;Aufzug zwischen Gleis 1/2 und Tunnel
BSTG. B GLEIS 3/4;S-Bahnsteig 02 Gl. 3/4;10007929;AZ Gl. 3-4 (S-Bahn)/Fabrik-Nr: 47KAG365;Berlin-Wannsee;566;OTIS GmbH & Co. OHG;2007;SEIL;     2;     1;     2;     1;     4,51;OBEN;    1025;"GL3/4;TUNNEL";    900;    2200;    940;    2200;    2100;47KAG365;ZS2;    3784352,1680000001;    5817993,3190000001;Aufzug zwischen Gleis 3/4 und Tunnel
BSTG 3/4;Bahnsteig 03;10008866;Personenaufzug;Bitterfeld;680;Schindler Aufzüge und Fahrtrep;1999;HYDRAULISCH;     2;     2;     2;     0,63;     4,7;;    630;;    900;    1380;    1100;    2200;    2100;341791;ES2;    3729761,4079999998;    5726136,1710000001;Aufzug zu Bstg 3/4
BSTG 1/2;Bahnsteig 01;10008873;Personenaufzug;Bitterfeld;680;Schindler Aufzüge und Fahrtrep;1998;HYDRAULISCH;     2;     2;     2;     0,63;     4,44;;    630;;    900;    1380;    1100;    2200;    2100;341790;ES2;    3729743,8670000001;    5726137,8130000001;Aufzug zu Bstg 1/2
BSTG 5/6;Bahnsteig 05;10008878;Personenaufzug;Bitterfeld;680;Schindler Aufzüge und Fahrtrep;2002;HYDRAULISCH;     2;     2;     2;     0,63;     4,44;;    630;;    900;    1380;    1100;    2200;    2100;341792;ES2;;;Aufzug zu Bstg 5/6
EMPFANGSHALLE;Empfangshalle;10008887;Personenaufzug;Bitterfeld;680;Schindler Aufzüge und Fahrtrep;1998;HYDRAULISCH;     2;     2;     2;     0,63;     3,28;;    630;;    900;    1400;    1100;    2200;    2100;341789;ES2;;;
BAHNSTEIG 1;Personenaufzug Bstg 1;10009222;Personenaufzug Bstg 1;Bochum Hbf;724;Janzhoff;2005;SEIL;     2;     1;     2;;;;;"GL1;GL2;0OG";    1000;    1900;    1000;    2200;    2100;101555;ES2;    3376691,7400000002;    5706452,3550000004;Aufzug zwischen Gleis 1/2 und Erdgeschoss
BUCHLADEN;Empfangshalle;10009247;Personenaufzug zum Keller HA 3444;Bochum Hbf;724;Janzhoff;1971;SEIL;     2;     1;     2;;;;;"0OG;1UG";    800;    1100;    1200;    2100;    2000;101554;ES2;;;
BAHNSTEIG 2;Personenaufzug Bstg 2;10009288;Personenaufzug Bstg 2;Bochum Hbf;724;Janzhoff;2005;SEIL;     2;     1;     2;;;;;"GL3;GL4;0OG";    1000;    1900;    1000;    2200;    2100;101556;ES2;    3376702,2769999998;    5706437,1359999999;Aufzug zwischen Gleis 3/4 und Erdgeschoss
BAHNSTEIG 3;Personenaufzug Bstg 3;10009291;Personenaufzug Bstg 3;Bochum Hbf;724;Janzhoff;2005;SEIL;     2;     1;     2;;;;;"GL5;GL6;0OG";    1000;    1900;    1000;    2200;    2100;101557;ES2;    3376713,3509999998;    5706421,1969999997;Aufzug zwischen Gleis 5/6 und Erdgeschoss
BAHNSTEIG (S-BAHN);Personenaufzug HA 3471  Bstg 4- P-Tunnel;10009296;Personenaufzug Bstg 4 HA 3471;Bochum Hbf;724;OTTO und Weiss GmbH;1993;HYDRAULISCH;     2;     1;     2;     0,57;     5,770000000000001;INTEGRIERT;    1000;"GL7;GL8;0OG";    1100;    1800;    1300;    2100;    2100;930122;ZS2;;;Aufzug zwischen Gleis 7/8 und Erdgeschoss
QUANTIUSSTRASSE - HBF;Personentunnel, Nordtunnel;10009557;HA 1018 Personenaufzug Ausg. Quantiusstr;Bonn Hbf;767;Haushahn GmbH & Co. KG;2007;HYDRAULISCH;     2;     2;     2;     0,5;     3,52;;    600;;;;;;;;;    3365671,2910000002;    5623533,398;
BAHNSTEIG 4;Bahnsteig 04 (Aussenbahnsteig, Gl.5);10009565;HA 1019 Personenaufzug Nord, Bstg.4;Bonn Hbf;767;Kone GmbH;2007;HYDRAULISCH;     2;     2;     2;     0,5;     4,96;NEBEN;    630;;;;;;;;;    3365677,0159999998;    5623552,0209999997;Aufzug zu Bstg 4
FUßGÄNGERTUNNEL GLEIS 3;Bahnsteig 03 (Aussenbahnsteig, Gl.4);10009608;HA 1021 Personenaufzug Nord, Bstg. 3;Bonn Hbf;767;Haushahn GmbH & Co. KG;2007;HYDRAULISCH;     2;     2;     2;     0,5;     4,75;NEBEN;    630;;;;;;;;;    3365684,3560000001;    5623565,8810000001;Aufzug zwischen Gleis 4 und Tunnel
NORDTUNNEL;Bahnsteig 01 (Hausbahnsteig, Gl.1);10009609;HA 1022 Personenaufzug Nordtunnel, Bstg1;Bonn Hbf;767;Thyssen Krupp AG;2007;HYDRAULISCH;     2;;     2;     0,5;     4,68;INTEGRIERT;    630;;;;;;;;;    3365696,122;    5623589,6160000004;Aufzug zwischen Gleis 1 und Tunnel (Nord)
NORDTUNNEL, GLEIS 2;Bahnsteig 02 (Mittelbahnsteig, Gl. 2/3);10009610;HA 1020 Personenaufzug Nordt., Bstg. 2;Bonn Hbf;767;Haushahn GmbH & Co. KG;2007;HYDRAULISCH;     2;     2;     2;     0,5;     4,84;NEBEN;    630;;;;;;;;;    3365688,4169999999;    5623574,21;Aufzug zwischen Gleis 2/3 und Tunnel (Nord)
BAHNSTEIG B;S-Bahnsteig 01;10009787;AZ Gl. 1-2 / Fabrik-Nr: 47KAJ020;Bornholmer Straße;791;OTIS GmbH & Co. OHG;2008;SEIL;     2;     1;     2;     1;     7,38;AUßEN;    1025;"GL1/2;AUSGANG";    1000;    2100;    1100;    2200;    2100;47KAJ020;ZS2;    3798266,2489999998;    5833760,5820000004;Aufzug zu Gleis 1/2
BAHNSTEIG 2 GL. 3;Gl. 3;10009847;Personenaufzug;Bottrop Hbf;804;Schmersal Aufzugsservice;1997;HYDRAULISCH;     2;     2;     2;     0,5;     5,125;INTEGRIERT;    875;;;;;;;;;;;Aufzug zu Gleis 3
BAHNSTEIG 1 GL. 1/2;Gl. 1+2;10009848;Personenaufzug;Bottrop Hbf;804;Schmersal Aufzugsservice;1997;HYDRAULISCH;     2;     2;     2;     0,5;     5,125;INTEGRIERT;    875;;;;;;;;;;;Aufzug zu Gleis 1/2
HAUPT-TREPPENHAUS;Keller 50 Haupttreppenhaus;10010125;Personenaufzug 12 P 2785;Braunschweig Hbf;835;Christian Hein GmbH;1993;SEIL;     7;     1;     1;     1;    35;OBEN;    900;;;;;;;;;;;
BAHNHOFSVORPLATZ/TUNNEL HA4171;Bahnhofsvorplatz;10010251;Personenaufzug Tunnel/Vorplatz HA4171;Bredstedt;842;Rud. Prey GmbH & Co. KG;1997;HYDRAULISCH;     2;     1;     2;     0,4;     4;NEBEN;    1000;;;;;;;;;    3498126,23;    6054647,9079999998;
TUNNEL/BSTG. GL.1/2 HA4173;Inselbahnsteig / Gl. 1 u. 2;10010252;Personenaufzug Tunnel/Bstg.1/2 HA4173;Bredstedt;842;Rud. Prey GmbH & Co. KG;1997;HYDRAULISCH;     2;     1;     2;     0,4;     4;OBEN;    1000;;;;;;;;;    3498135,392;    6054652,898;Aufzug zwischen Gleis 1/2 und Tunnel
BAHNSTEIG 2;Bahnsteig Gleis 2;10010334;Personenaufzug;Bremen-Burg;857;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     2;     2;     0,4;     4,18;NEBEN;    11000;;;;;;;;;    3480336,352;    5892013,4970000004;Aufzug zu Gleis 2
BAHNSTEIG  3/4;Bahnsteig Gleis 3-4;10010338;Personenaufzug;Bremen-Burg;857;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     2;     2;     0,4;     4,18;NEBEN;    11000;;;;;;;;;    3480336,2030000002;    5892017,6030000001;Aufzug zu Gleis 3/4
BAHNSTEIG 5;Bahnsteig Gleis 5;10010339;Personenaufzug;Bremen-Burg;857;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     2;     2;     0,4;     4,18;NEBEN;    11000;;;;;;;;;    3480350,7590000001;    5892020,8130000001;Aufzug zu Gleis 5
MITTELBAHNSTEIG;Mittelbahnsteig;10010381;Personenaufzug;Bremen-Walle;867;Tepper Aufzüge GmbH;1997;HYDRAULISCH;     2;     2;     2;     0,74;     5,28;INTEGRIERT;    1000;;;;;;;;;    3485783,909;    5885704,7549999999;
;Bahnsteig B;10010867;Personenaufzüge HA 3027;Buchloe;944;Rangger Aufzüge GmbH;1998;HYDRAULISCH;     2;     1;     2;     0,63;     4,43;NEBEN;    1000;UNTERFUEHRUNG;    1000;    1600;    1360;    2200;    2100;295217;ES2;    3628093,2719999999;    5323197,5310000004;Aufzug zu Bstg B
;Bahnsteig C;10010868;Personenaufzüge HA 3028;Buchloe;944;Rangger;1998;HYDRAULISCH;     2;     1;     2;;     5;NEBEN;    1000;UNTERFUEHRUNG;    1000;    1600;    1360;    2200;    2100;295218;ES2;    3628080,0899999999;    5323203,1090000002;Aufzug zu Bstg C
TRIEBWERKSRAUM 3;Bahnsteig A;10010869;Personenaufzüge HA 3026;Buchloe;944;Rangger;1998;HYDRAULISCH;     2;     1;     2;     0,63;     5,255;NEBEN;    1000;NEBEN TREPPE HAUSBAHNSTEIG;    1000;    1600;    1360;    2200;    2100;295216;ES2;    3628105,6009999998;    5323179,1330000004;Aufzug zu Bstg A
BSTG.1 (HAUSBAHNSTEIG);Bahnsteig 1;10010921;Personenaufzug Nr.21294;Bückeburg;948;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     1;     2;     0,39;     4,09;NEBEN;    1000;;    1000;    2100;    1100;    2200;    2100;21294;ZS2;    3503336,7050000001;    5792683,102;
BSTG.2;Bahnsteig 2/3;10010923;Personenaufzug Nr.21295;Bückeburg;948;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     1;     2;     0,39;     4,278000000000001;NEBEN;    1000;;    1000;    2100;    1100;    2200;    2100;21295;ZS2;    3503331,1069999998;    5792699,4500000002;Aufzug zu Bstg 2/3
BAHNSTEIG 2/3;Bahnsteig 2/3;10011656;Personenaufzüge Nr. 21276;Celle Pbf;1036;Tepper Aufzüge GmbH;1999;HYDRAULISCH;     2;     2;     2;     0,39;     4,28;INTEGRIERT;    1000;;    1000;    1100;    2100;    2200;    2100;21276;ZS2;;;Aufzug zu Bstg 2/3
BSTG 13 UNTERFÜHRUNG;Chemnitz Hbf Bahnsteig 13;10011706;Personenaufzug A3 - Unterführung;Chemnitz Hbf;1040;OTIS GmbH & Co. OHG;1998;HYDRAULISCH;     2;     1;     2;     0,41;     5,22;;    1000;;;;;;;;;;;Aufzug zwischen Bstg 13 und Tunnel
BAHNSTEIG 11/12;Chemnitz Hbf Bahnsteig 11;10011710;Personenaufzug A2;Chemnitz Hbf;1040;OTIS GmbH & Co. OHG;1998;HYDRAULISCH;     2;     1;     2;     0,4;     5,4;AUßEN;    1000;;;;;;;;;;;Aufzug zu Bstg 11/12
TEXTILHALLE;Chemnitz Hbf Erdgeschoss;10011789;Personenaufzug - Textilhalle A1;Chemnitz Hbf;1040;OTIS GmbH & Co. OHG;1998;HYDRAULISCH;     3;     2;     4;     0,62;     6;INNEN;    1000;;;;;;;;;;;
BSTG.1;Leipzig Coppiplatz Bahnsteig 1;10012255;Personenaufzug 941172;Leipzig Coppiplatz;1070;Schmersal Aufzugsservice;1995;HYDRAULISCH;     2;     1;     2;     0,5;     6,850000000000001;NEBEN;    630;;;;;;;;;;;
BAHNSTEIG 2;Leipzig Coppiplatz Bahnsteig 2;10012256;Personenaufzug 941173;Leipzig Coppiplatz;1070;Schmersal Aufzugsservice;1995;HYDRAULISCH;     2;     1;     2;     0,5;     6,92;NEBEN;    630;;;;;;;;;;;Aufzug zu Bstg 2
BAHNSTEIG 6;Bahnsteig 6;10012322;AZ Tunnel (neu) > Bstg. 6;Cottbus;1077;OTIS GmbH & Co. OHG;2007;SEIL;     2;     1;     2;     1;     4,05;SCHACHT - TUNNEL > BSTG. 6;    2000;"GL6;TUNNEL";    1000;    2680;    1480;    2200;    2100;47KAG374;ZS2;    3867663,3709999998;    5748652,8370000003;Aufzug zwischen Gleis 6 und Tunnel
BAHNSTEIG 1;Bahnsteig 1;10012323;AZ Tunnel (neu) > Bstg. 1;Cottbus;1077;OTIS GmbH & Co. OHG;2007;SEIL;     2;     1;     2;     1;     4,51;SCHACHT - TUNNEL > BSTG. 1;    2000;"GL1;TUNNEL";    1000;    2600;    1480;    2200;    2100;47KAG375;ZS2;    3867671,284;    5748581,2520000003;Aufzug zwischen Gleis 1 und Tunnel
RAUM 044 AUFZUGSRAUM B.POL;Raum 044 (Aufzugsraum Ost);10012394;Person-Lastenaufzug m. Schaltschrank NRR;Cottbus;1077;VEB AWL Leipzig;1977;HYDRAULISCH;     4;     1;     4;     0,17;    11;INTEGRIERT;    500;"1UG;0OG;1OG;2OG";    770;    1330;    1000;    2020;    1980;011432;D1;;;
46101;Bahnsteig 6, Gleis 11/12;10012844;Personenaufzüge HA 304;Darmstadt Hbf;1126;Paul Schmidt;2000;HYDRAULISCH;     2;     1;     3;     0,5;     5,295;;    1000;;;;;;;;;;;Aufzug zu Gleis 11/12
;Bahnsteig 5, Gleis 9/10;10012848;Personenaufzüge HA 303;Darmstadt Hbf;1126;Paul Schmidt;1999;HYDRAULISCH;     2;     1;     3;     0,5;     5,295;;    1000;;;;;;;;;    3473407,503;    5526294,983;Aufzug zu Gleis 9/10
;Bahnsteig 4, Gleis 7/8;10012849;Personenaufzüge HA 302;Darmstadt Hbf;1126;Paul Schmidt;1999;HYDRAULISCH;     2;     1;     3;     0,5;     5,295;;    1000;;;;;;;;;    3473426,3139999998;    5526296,4009999996;Aufzug zu Gleis 7/8
;Bahnsteig 3, Gleis 5/6;10012850;Personenaufzüge HA 301;Darmstadt Hbf;1126;Paul Schmidt;1998;HYDRAULISCH;     2;     2;     3;     0,5;     5,295;;    1000;;;;;;;;;    3473444,1540000001;    5526297,8190000001;Aufzug zu Gleis 5/6
BAHNSTEIG 1/2;Bahnsteig 2/3;10013195;Personenaufzug;Dessau Hbf;1173;OTIS GmbH & Co. OHG;1993;HYDRAULISCH;     2;;;     0,4;;INTEGRIERT;    630;;;;;;;;;;;Aufzug zu Bstg 1/2
BST 5/6;Bahnsteig  6/7;10013196;Personenaufzug;Dessau Hbf;1173;OTIS GmbH & Co. OHG;1993;HYDRAULISCH;     2;;;     0,4;     3,92;INTEGRIERT;    630;;;;;;;;;;;Aufzug zu Bstg 5/6
BAHNSTEIG 3/4;Bahnsteig 4/5;10013200;Personenaufzug;Dessau Hbf;1173;OTIS GmbH & Co. OHG;1993;HYDRAULISCH;     2;     1;     2;     0,4;     3,94;OBEN;    630;;;;;;;;;;;Aufzug zu Bstg 3/4
TUNNEL WESTAUSGANG;Personentunnel;10013213;Personenaufzug / Westausgang;Dessau Hbf;1173;OTIS GmbH & Co. OHG;1993;HYDRAULISCH;     2;     2;     2;     0,4;     3,085;NEBEN;    630;;;;;;;;;;;
EMPFANGSHALLE / TUNNEL;Personentunnel;10013215;Personenaufzug / Empfangshalle;Dessau Hbf;1173;OTIS GmbH & Co. OHG;1993;HYDRAULISCH;     2;     2;     2;     0,4;;INTEGRIERT;    630;;;;;;;;;;;
MARKTPLATZ;Bahnsteig 1;10013632;HA   0042 Personenaufzug;Dortmund-Lütgendortmund;1235;OTIS GmbH & Co. OHG;1993;HYDRAULISCH;     2;;;;     6;;;;;;;;;;;;;"Aufzug zu Bstg 1 ; Ausgang Marktplatz"
BSTG. 2 ZUM BSTG 3;Gebäude (Hochbau), Aufzugsschacht;10013711;AZ Nr. 2, BSTG. 2  ZUM BSTG 3;Doberlug-Kirchhain;1240;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     5,810000000000001;INTEGRIERT;    1050;"GL2;GL3";    1000;    2700;    1480;    2200;    2100;47KAG373;ZS2;    3816123,75;    5730593,0860000001;Aufzug zwischen Gleis 2 und Gleis 3
BSTG.1 ZUM BSTG.3;Gebäude (Hochbau), Aufzugsschacht;10013714;Aufzug Nr. 1, BSTG.1 ZUM BSTG.3;Doberlug-Kirchhain;1240;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     5,64;INTEGRIERT;    1050;"GL1;GL3";    1000;    2700;    1480;    2200;    2100;47KAG372;ZS2;    3816123,5260000001;    5730593,3190000001;Aufzug zwischen Gleis 1 und Gleis 3
BSTG. 1/2;Bahnsteig 01;10013929;Personenaufzug;Dormagen;1274;OTIS GmbH & Co. OHG;1993;SEIL;     2;     2;     2;     0,4;     5,604;;    630;;;;;;;;;    3347016,6749999998;    5664997,0379999997;Aufzug zu Bstg 1/2
BAHNSTEIG 3/4;Bahnsteig 02;10013936;Personenaufzug;Dormagen;1274;OTIS GmbH & Co. OHG;1993;SEIL;     2;     2;     2;     0,4;     5,546;;    630;;;;;;;;;    3347006,6340000001;    5664984,9649999999;Aufzug zu Bstg 3/4
KL. HALLE / S-BAHNSTEIG;Personenaufzug;10014098;Gl 6/7   HA 1121 Personenaufzug;Dortmund Hbf;1289;Haushahn GmbH & Co. KG;1995;HYDRAULISCH;     2;     1;     2;     0,5;     5,7;NEBEN;    1000;;;;;;;;;    3393166,0430000001;    5710358,3130000001;Aufzug zwischen Gleis 6/7 und Kleine Halle
GL. 1;Pavillon,Eingangsbereich Kortental,;10014312;HA 1122 Personenaufzug  Aufzug C;Dortmund-Dorstfeld;1304;Haushahn GmbH & Co. KG;1997;HYDRAULISCH;     2;     1;     2;     0,78;    13,300000000000001;NEBEN;    1000;;;;;;;;;;;Aufzug zu Gleis 1
;überdachte Fußgängerbrücke;10014313;HA 1123 Personenaufzug Aufzug B;Dortmund-Dorstfeld;1304;Haushahn GmbH & Co. KG;1997;HYDRAULISCH;     2;     1;     2;     0,6;     5,810000000000001;NEBEN;    1000;;;;;;;;;;;
;überdachte Fußgängerbrücke;10014314;HA 1124 Personenaufzug Aufzug  A;Dortmund-Dorstfeld;1304;Haushahn GmbH & Co. KG;1997;HYDRAULISCH;     2;     1;     2;     0,6;     5,810000000000001;NEBEN;    1000;;;;;;;;;;;
;Pavillon,Eingangsbereich Kortental,;10014316;HA 1120 Personenaufzug  D Gl 2;Dortmund-Dorstfeld;1304;Haushahn GmbH & Co. KG;1997;HYDRAULISCH;     2;     1;     2;     0,78;    13,19;NEBEN;    1000;;;;;;;;;;;
AUFGANG BSTG;Inselbahnsteig Ri Schöna/Ri DD;10014785;Personenaufzug;Dresden-Reick;1356;Thyssen Krupp AG;2004;SEIL;     2;     2;     2;     1,25;     8;;    1050;;;;;;;;;    3836120,7940000002;    5664949,7980000004;Aufzug zu Bstg Richtung Schöna/Richtung DD
DUCKTERATH BAUWERK;S-Bahnsteig 01;10014806;HA 0007 Aufzugsanlage;Duckterath;1371;Schmersal Aufzugsservice;1991;SEIL;     2;     1;     2;     1;     4,8;;    630;;;;;;;;;;;
V. PERSONENTUNNELZ. S-BSTG.;Bahnsteig 02 (Gl 3/4) S-Bahnsteig;10015624;HA 1076 (Alt 412);Düsseldorf-Benrath;1399;OTIS GmbH & Co. OHG;1993;HYDRAULISCH;     2;     1;     2;     0,4;     4,46;NEBEN;    630;;;;;;;;;    3351689,8790000002;    5671841,3830000004;Aufzug zwischen Gleis 3/4 und Tunnel
V.NORDTUNNEL Z. BSTG. 8;Bahnsteig 8 (Gleis19/20);10015805;HA 1089 (V.NORDTUNNEL Z. BSTG. 8);Düsseldorf Hbf;1401;OTIS GmbH & Co. OHG;2007;SEIL;     2;     1;     2;     1;;NEBEN;    700;;;;;;;;;    3346095,2650000001;    5678425,7690000003;Aufzug zwischen Gleis 19/20 und Tunnel (Nord)
BSTG 4;Bahnsteig 4 (Gleis11/12);10015806;HA 1073;Düsseldorf Hbf;1401;OTIS GmbH & Co. OHG;2007;SEIL;     2;     1;     2;     1;;NEBEN;    700;;;;;;;;;    3346005,9929999998;    5678439,8959999997;Aufzug zu Gleis 11/12
V.NORDTUNNEL Z. BSTG. 6;Bahnsteig 6 (Gleis15/16);10015807;HA 1092 (NORDTUNNEL Z. BSTG. 6);Düsseldorf Hbf;1401;OTIS GmbH & Co. OHG;2008;SEIL;     2;     1;     2;     0,44;;NEBEN;    630;;;;;;;;;    3346062,2250000001;    5678452,5769999996;Aufzug zwischen Gleis 15/16 und Tunnel (Nord)
V.NORDTUNNEL Z. BSTG. 3;Bahnsteig 3 (Gleis9/10);10015809;HA 1093 (NORDTUNNEL Z. BSTG. 3);Düsseldorf Hbf;1401;OTIS GmbH & Co. OHG;2007;SEIL;     2;     1;     2;     1;;NEBEN;    700;;;;;;;;;    3346025,1379999998;    5678496,75;Aufzug zwischen Gleis 9/10 und Tunnel (Nord)
V.NORDTUNNEL Z. BSTG. 2;Bahnsteig 2 (Gleis6/7);10015810;HA 1094 (NORDTUNNEL Z. BSTG. 2);Düsseldorf Hbf;1401;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;;NEBEN;    700;;;;;;;;;    3346001,372;    5678501,9270000001;Aufzug zwischen Gleis 6/7 und Tunnel (Nord)
